head,relation,tail
Head of Government (Pakistan),Engage in negotiation,Iran
China,Make a visit,Philippines
Iran,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (United States)
Chief of Staff (Qatar),Make a visit,Sudan
Japan,Express intent to engage in diplomatic cooperation (such as policy support),France
Government (South Africa),Reject,Ministry (South Africa)
Member of Parliament (India),Express intent to cooperate,Employee (India)
Fumio Kishida,Make an appeal or request,Sergey Viktorovich Lavrov
Cristina Fernández de Kirchner,Make statement,Daniel Scioli
Iraq,Impose administrative sanctions,Militia (Iraq)
Cabinet / Council of Ministers / Advisors (United States),Consult,Nasser Judeh
South Korea,Threaten,Citizen (South Korea)
Foreign Affairs (Ukraine),Make statement,Sergey Viktorovich Lavrov
China,Engage in negotiation,Iran
China,Cooperate militarily,Iran
Opposition Supporter (Turkey),Engage in negotiation,Abdullah Gül
Barack Obama,Express intent to cooperate,Royal Administration (Saudi Arabia)
Governor (Kenya),Make statement,William Ruto
Iran,Host a visit,Evangelos Venizelos
Ministry (Vietnam),Make a visit,Iran
China,Engage in diplomatic cooperation,North Korea
Employee (India),fight with small arms and light weapons,Member of Parliament (India)
Thaksin Shinawatra,Demand,Citizen (Thailand)
Mexico,Host a visit,Raúl Castro
Edgars Rinkevics,Express intent to engage in diplomatic cooperation (such as policy support),Julie Bishop
Chaudhry Nisar Ali Khan,Consult,Raheel Sharif
New Zealand,Host a visit,Barack Obama
Zakir Hasanov,Express intent to meet or negotiate,Iran
Prayuth Chan-ocha,Express intent to meet or negotiate,Thailand
Barack Obama,"Impose embargo, boycott, or sanctions",Government (Venezuela)
Citizen (Nigeria),Threaten with military force,Government (Nigeria)
Malaysia,Host a visit,Gen Prayut Chan-o-cha
Other Authorities / Officials (China),Demonstrate military or police power,China
Citizen (Nigeria),Accuse,Assemblies (Nigeria)
Julie Bishop,Consult,Iraq
South Korea,Express intent to provide humanitarian aid,Citizen (South Korea)
Japan,Demand,China
Education Ministry (South Africa),Express intent to provide military aid,Education (South Africa)
Police (Kenya),fight with small arms and light weapons,Associated Press
Police (Cote d'Ivoire),Use unconventional violence,Student (Cote d'Ivoire)
Bahrain,Reduce relations,Government Official (United States)
African Union,Demand,Morocco
Police (Namibia),Physically assault,Citizen (Namibia)
Serbia,Host a visit,Head of Government (China)
Member of Parliament (Australia),Make statement,Police (Australia)
Colombia,Sign formal agreement,Mexico
Air Force (Iraq),Employ aerial weapons,Iraq
Philippines,Host a visit,Ona
Ministry (Malaysia),Express intent to meet or negotiate,Malaysia
Head of Government (Nigeria),Express intent to cooperate,Muhammadu Buhari
Member of Legislative (Govt) (Myanmar),Make a visit,Vietnam
Iraq,Host a visit,Poland
Barack Obama,Express intent to provide material aid,Mexico
France,Consult,United Arab Emirates
Shen Jong-chin,Express intent to meet or negotiate,Vietnam
Yair Lapid,Make statement,Benjamin Netanyahu
Yair Lapid,Accuse,Benjamin Netanyahu
African Union,Receive deployment of peacekeepers,Military (France)
Citizen (United Kingdom),Threaten with military force,Court Judge (United Kingdom)
Royal Administration (Spain),Make a visit,Morocco
Israeli Defense Forces,Employ aerial weapons,Hamas
Police (Philippines),Cooperate militarily,Military (Philippines)
New Zealand,Host a visit,Legislature (Lesotho)
China,Consult,Ma Ying Jeou
Villager (Philippines),Share intelligence or information,Military (Philippines)
Citizen (India),Criticize or denounce,Akhilesh Yadav
Nuri al-Maliki,Make statement,Haider Al-Abadi
Japan,Express intent to provide humanitarian aid,Fumio Kishida
Ministry (Iran),Make statement,Kuwait
John Kerry,Make pessimistic comment,Philip Hammond
Evangelos Venizelos,Make optimistic comment,Iran
Other Authorities / Officials (Hong Kong),Make an appeal or request,Protester (Hong Kong)
Head of Government (Guatemala),Express intent to cooperate,José Miguel Insulza
Barack Obama,Make optimistic comment,UN Security Council
Sudan,Host a visit,UN Security Council
Barack Obama,Praise or endorse,Arseniy Yatsenyuk
Employee (Kenya),Accuse,Citizen (Kenya)
Foreign Affairs (Ecuador),Make statement,Julian Paul Assange
Government (Sudan),Criticize or denounce,Umar al Bashir
Martin Lidegaard,Appeal for material cooperation,Iran
Militant (Taliban),Carry out suicide bombing,Afghanistan
Protester (Turkey),"Protest violently, riot",Military (Turkey)
Benjamin Netanyahu,Consult,Reuven Rivlin
Romania,Make a visit,Serbia
Antonis Samaras,Engage in negotiation,Evangelos Venizelos
Alfred Mutua,Criticize or denounce,Police (Kenya)
Foreign Affairs (Russia),Express intent to meet or negotiate,Iran
Mohammad Mohaqiq,Make a visit,Iran
Association of Southeast Asian Nations,Express intent to cooperate,China
Head of Government (Nigeria),Ease administrative sanctions,Citizen (Nigeria)
Government (Angola),Engage in symbolic act,Ministry (Angola)
Iran,Host a visit,Hasan Qazizadeh-Hashemi
Angela Merkel,Host a visit,Foreign Affairs (Ukraine)
Military Personnel (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria)
Julie Bishop,Make a visit,Cambodia
Canadian Armed Forces,Make a visit,Sierra Leone
Military (Mali),Make an appeal or request,Citizen (Mali)
Boko Haram,Make an appeal or request,Government (Nigeria)
Nuri al-Maliki,Consult,Party Member (Iraq)
Citizen (Yemen),Engage in symbolic act,Police (Yemen)
Member of Parliament (Australia),Appeal for diplomatic cooperation (such as policy support),Citizen (Australia)
Citizen (Nigeria),Criticize or denounce,Chibuike Rotimi Amaechi
Police (Australia),"Arrest, detain, or charge with legal action",Peter Foster
Tahirul Qadri,Engage in symbolic act,Pakistan Tehreek-e-Insaf
France,Provide economic aid,Afghanistan
Sergey Viktorovich Lavrov,Engage in negotiation,Catherine Ashton
Barack Obama,Demand,China
Arnaud Montebourg,Express intent to meet or negotiate,François Hollande
Student (Cote d'Ivoire),Make statement,Police (Cote d'Ivoire)
Sudan,Make an appeal or request,Citizen (Sudan)
Benjamin Netanyahu,Sign formal agreement,Cabinet / Council of Ministers / Advisors (United States)
Sheikh Hasina Wajed,Accuse,Bangladesh Nationalist Party
Nguyen Phu Trong,Express intent to meet or negotiate,Dmitry Anatolyevich Medvedev
Abu Bakr al-Baghdadi,Use unconventional violence,Iraq
Mohammad Mohaqiq,Criticize or denounce,Abdullah Abdullah
Citizen (Kenya),Consult,Uhuru
Bhupinder Singh Hooda,Express intent to cooperate,Company - Owner or Operator (India)
Ministry (Czech Republic),Express accord,Milos Zeman
Nationalist Movement Party,Sign formal agreement,Republican People's Party
Court Judge (Kenya),Give ultimatum,Lawyer/Attorney (Kenya)
Iraq,Bring lawsuit against,Defense / Security Ministry (Iraq)
Citizen (Nigeria),Make optimistic comment,Democratic Party (Nigeria)
John Kerry,Express intent to meet or negotiate,Presidential Candidate (Afghanistan)
Bhutan,Engage in negotiation,China
Bahrain,Reduce or break diplomatic relations,Foreign Affairs (United States)
Citizen (India),Demonstrate or rally,Head of Government (India)
China,Threaten,Philippines
Sharad Pawar,Make statement,Shiv Sena
Barack Obama,Make statement,Canada
Medical Personnel (India),Criticize or denounce,Citizen (India)
Iran,Criticize or denounce,Catherine Ashton
Xi Jinping,Make a visit,Cabinet / Council of Ministers / Advisors (United States)
Volodymyr Konstantynov,Discuss by telephone,Nestor Shufrych
South Africa,Sign formal agreement,Government (South Africa)
Indigenous People (Nigeria),Express intent to engage in diplomatic cooperation (such as policy support),Citizen (Nigeria)
Barack Obama,Express intent to cooperate,China
Antonis Samaras,Make statement,New Democracy
Employee (Philippines),Make statement,Criminal (Philippines)
Abdullah Abdullah,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States)
Prayuth Chan-ocha,Make statement,Malaysia
Philippines,Consult,Police (Philippines)
Iraq,Criticize or denounce,Militant (Iraq)
Chibuike Rotimi Amaechi,Make an appeal or request,Ministry (Nigeria)
Sergey Viktorovich Lavrov,Demand,Iran
Uhuru Muigai Kenyatta,Demand,Police (Kenya)
Uhuru Muigai Kenyatta,Make a visit,South Sudan
France,Host a visit,Guillaume Soro
Iraq,Use conventional military force,UN Security Council
Ministry (France),Engage in symbolic act,François Hollande
China,Demand,Malaysia
Ministry (Nigeria),Appeal for intelligence,Citizen (Nigeria)
Military (Chad),Mobilize or increase armed forces,Sudan
Government (Nigeria),Make an appeal or request,Court Judge (Nigeria)
Chibuike Rotimi Amaechi,Praise or endorse,Kayode Fayemi
Citizen (Botswana),Make optimistic comment,Botswana
Iraq,Host a visit,Member of Legislative (Govt) (Iran)
Nuri al-Maliki,Make statement,National Alliance (Iraq)
China,Engage in diplomatic cooperation,Laos
Chen Deming,Make optimistic comment,Straits Exchange Foundation
Uhuru Muigai Kenyatta,Host a visit,Indigenous People (Somalia)
Citizen (Botswana),Engage in symbolic act,Head of Government (Botswana)
Mexico,Host a visit,Patria
China,Host a visit,Cabinet / Council of Ministers / Advisors (United States)
Democratic Party (Nigeria),Use conventional military force,Citizen (Nigeria)
Foreign Affairs (South Korea),Make an appeal or request,Japan
Poland,Sign formal agreement,Iran
Sergey Viktorovich Lavrov,Consult,Sauli Niinistö
Government (Pakistan),Make an appeal or request,Raheel Sharif
Police (Ukraine),Consult,Vitali Klitschko
Women (Australia),Threaten,Police (Australia)
Middle East,Make a visit,South Korea
Citizen (Hungary),Sign formal agreement,Viktor Orban
Guinea-Bissau,Host a visit,John Dramani Mahama
Al-Shabaab,Express intent to provide material aid,Boko Haram
Benjamin Netanyahu,Criticize or denounce,Reuven Rivlin
Citizen (Nigeria),Appeal for easing of administrative sanctions,Representatives (Nigeria)
Barack Obama,Decline comment,Iran
Government (Nigeria),Sign formal agreement,Academic Staff Union of Universities
Citizen (Nigeria),Use unconventional violence,Muslim (Nigeria)
Sudan,Consult,Ethiopia
Angela Merkel,Discuss by telephone,Government (Germany)
Citizen (Guinea),Physically assault,Guinea
Ministry (Nigeria),Accuse,Chibuike Rotimi Amaechi
Barack Obama,Demonstrate military or police power,Iraq
Terrorist Leader (Boko Haram),Make an appeal or request,Citizen (Nigeria)
Sergey Viktorovich Lavrov,Make optimistic comment,Kazakhstan
Citizen (South Korea),fight with small arms and light weapons,South Korea
Armed Band (Uganda),Use unconventional violence,Uganda People's Defence Force
Children (Iran),Accuse,Iran
European Central Bank,Make statement,International Monetary Fund
Abdulla Yameen,Consult,Xi Jinping
Barack Obama,Make pessimistic comment,Benjamin Netanyahu
Tsakhiagiyn Elbegdorj,Make a visit,China
Thailand,Make an appeal or request,Myanmar
Kim Jong-Un,Make an appeal or request,South Korea
Citizen (Kenya),Yield,Police (Kenya)
Milos Zeman,Make statement,Tajikistan
China,Make optimistic comment,Afghanistan
Barack Obama,Threaten,North Korea
Military Personnel (India),"Abduct, hijack, or take hostage",Citizen (India)
Militant (Syria),Use unconventional violence,Extremist (Syria)
Shinsuke Sugiyama,Engage in negotiation,Liu Zhenmin
Adli Mansour,Make a visit,Antonis Samaras
Jyrki Katainen,Make optimistic comment,National Coalition Party
Citizen (Bangladesh),Reject,Awami (People's) League
Tajikistan,Host a visit,Head of Government (China)
Citizen (Turkey),Criticize or denounce,Main Opposition (Turkey)
Djibouti,Make a visit,Ethiopia
Employee (India),Make a visit,Afghanistan
Vassilis Kikilias,Express intent to engage in diplomatic cooperation (such as policy support),Police (Greece)
Sergey Viktorovich Lavrov,Make a visit,Sebastian Kurz
Xi Jinping,Express intent to meet or negotiate,Head of Government (India)
Citizen (Nigeria),Demonstrate or rally,Congress (Nigeria)
Head of Government (Brazil),Make an appeal or request,Citizen (Brazil)
Canada,Demand,Business (Canada)
Iran,Host a visit,Ministry (Poland)
Business (Canada),Investigate,Canada
Barack Obama,Express intent to engage in diplomatic cooperation (such as policy support),Raúl Castro
South Korea,Host a visit,Alexander Stubb
Military Personnel (Nigeria),Threaten,Citizen (Nigeria)
National Liberal Party,Make optimistic comment,Klaus Johannis
Umaru Tanko Al-Makura,Investigate,Citizen (Nigeria)
New Zealand,Make a visit,Middle East
John Kerry,Consult,Ethiopia
Iranian Parliament,Reduce or break diplomatic relations,Iran
Head of Government (Egypt),Make a visit,François Hollande
Citizen (Sudan),Use unconventional violence,Police (Sudan)
Citizen (Turkey),Express intent to engage in diplomatic cooperation (such as policy support),Justice and Development Party
Joseph Robinette Biden,Discuss by telephone,Colombia
Foreign Affairs (Syria),Make statement,Iran
Foreign Affairs (Russia),Make statement,Government (Syria)
Citizen (India),Complain officially,Head of Government (India)
Military (France),Use conventional military force,France
Nonaligned Movement,Make a visit,Iran
Criminal (Pakistan),fight with small arms and light weapons,Border Security Force
Nuri al-Maliki,Appeal for military aid,Barack Obama
Other Authorities / Officials (South Africa),Impose administrative sanctions,Julius Malema
New Zealand,Criticize or denounce,Government (New Zealand)
China,Host a visit,Naglaa el-Ahwani
Police (Malawi),Use conventional military force,Malawi
Association of Southeast Asian Nations,Make a visit,Japan
Armed Rebel (Syria),Accuse,Military (Lebanon)
Qatar,Consult,Iran
Citizen (Nigeria),Appeal to engage in or accept mediation,Activist (Nigeria)
France,Accuse,Iran
Children (Israel),"Protest violently, riot",Police (Israel)
Yulia Tymoshenko,Host a visit,Andriy Klyuyev
John Kerry,Express intent to cooperate,Media Personnel (Africa)
John Kerry,Consult,Haider Al-Abadi
Police (Indonesia),Confiscate property,Citizen (Indonesia)
Evangelos Venizelos,Accuse,Alexis Tsipras
Bolivia,Host a visit,Civil Guard
Kathy Gannon,Make a visit,Afghanistan
Ministry (Iran),Criticize or denounce,Iran
Police (Ukraine),"Arrest, detain, or charge with legal action",City Mayor (Ukraine)
Activist (Syria),Consult,Agence France-Presse
South Sudan,Appeal for intelligence,UN Security Council
Aïchatou Mindaoudou Souleymane,Host a visit,Mark Simmonds
Jonathan Greenert,Make a visit,Philippines
Citizen (Bangladesh),Bring lawsuit against,Bangladesh Nationalist Party
Japan,Make optimistic comment,Thailand
Men (Namibia),Use unconventional violence,Police (Namibia)
North Atlantic Treaty Organization,Express intent to provide military aid,Afghanistan
Citizen (India),Criticize or denounce,Court Judge (India)
Foreign Affairs (South Korea),Consult,South Korea
Employee (Afghanistan),Make statement,Armed Gang (Afghanistan)
Kim Jong-Un,Rally opposition against,North Korea
Antonis Samaras,Express intent to cooperate,Evangelos Venizelos
Bolivia,Host a visit,Mahinda Rajapaksa
Citizen (Australia),Express intent to meet or negotiate,Priest (Australia)
Military (Mali),fight with small arms and light weapons,Militant (Mali)
Government (Nigeria),"Return, release person(s)",Boko Haram
United Russia,Make a visit,Vietnam
Nuri al-Maliki,Make statement,Massoud Barzani
Government (Nigeria),Appeal for diplomatic cooperation (such as policy support),Company - Owner or Operator (Nigeria)
Ministry (Russia),Make a visit,Serbia
Julie Bishop,Make a visit,Malaysia
Tzipi Livni,Express intent to meet or negotiate,John Kerry
Citizen (Kyrgyzstan),Criticize or denounce,Police (Kyrgyzstan)
Muhammadu Buhari,Praise or endorse,Citizen (Nigeria)
